,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,close_year,close_quarter
544,Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,2002-03-01,2008-04-09,2002,1
545,"NextBank, NA",Phoenix,AZ,22314,No Acquirer,2002-02-07,2015-02-05,2002,1
546,Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,2002-02-01,2012-10-25,2002,1
547,Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,2002-01-18,2003-11-06,2002,1
548,"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,2002-01-11,2015-09-21,2002,1
549,Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,2001-09-07,2017-10-06,2001,3
550,"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",2001-07-27,2014-08-19,2001,3
551,Malta National Bank,Malta,OH,6629,North Valley Bank,2001-05-03,2002-11-18,2001,2
552,First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2001-02-02,2003-02-18,2001,1
553,National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,2000-12-14,2005-03-17,2000,4
554,Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,2000-10-13,2005-03-17,2000,4
